country;designation;points;price;province;region_1;region_2;variety;winery;last_year_points
US;Martha's Vineyard;96;235.0;California;Napa Valley;Napa;Cabernet Sauvignon;Heitz;94
Spain;Carodorum Selección Especial Reserva;96;110.0;Northern Spain;Toro;;Tinta de Toro;Bodega Carmen Rodríguez;92
US;Special Selected Late Harvest;96;90.0;California;Knights Valley;Sonoma;Sauvignon Blanc;Macauley;100
US;Reserve;96;65.0;Oregon;Willamette Valley;Willamette Valley;Pinot Noir;Ponzi;94
France;La Brûlade;95;66.0;Provence;Bandol;;Provence red blend;Domaine de la Bégude;94
Spain;Numanthia;95;73.0;Northern Spain;Toro;;Tinta de Toro;Numanthia;94
Spain;San Román;95;65.0;Northern Spain;Toro;;Tinta de Toro;Maurodos;89
Spain;Carodorum Único Crianza;95;110.0;Northern Spain;Toro;;Tinta de Toro;Bodega Carmen Rodríguez;88
US;Silice;95;65.0;Oregon;Chehalem Mountains;Willamette Valley;Pinot Noir;Bergström;83
US;Gap's Crown Vineyard;95;60.0;California;Sonoma Coast;Sonoma;Pinot Noir;Blue Farm;83
Italy;Ronco della Chiesa;95;80.0;Northeastern Italy;Collio;;Friulano;Borgo del Tiglio;85
US;Estate Vineyard Wadensvil Block;95;48.0;Oregon;Ribbon Ridge;Willamette Valley;Pinot Noir;Patricia Green Cellars;88
US;Weber Vineyard;95;48.0;Oregon;Dundee Hills;Willamette Valley;Pinot Noir;Patricia Green Cellars;84
France;Château Montus Prestige;95;90.0;Southwest France;Madiran;;Tannat;Vignobles Brumont;92
US;Grace Vineyard;95;185.0;Oregon;Dundee Hills;Willamette Valley;Pinot Noir;Domaine Serene;97
US;Sigrid;95;90.0;Oregon;Willamette Valley;Willamette Valley;Chardonnay;Bergström;92
US;Rainin Vineyard;95;325.0;California;Diamond Mountain District;Napa;Cabernet Sauvignon;Hall;88
Spain;6 Años Reserva Premium;95;80.0;Northern Spain;Ribera del Duero;;Tempranillo;Valduero;85
France;Le Pigeonnier;95;290.0;Southwest France;Cahors;;Malbec;Château Lagrézette;100
US;Gap's Crown Vineyard;95;75.0;California;Sonoma Coast;Sonoma;Pinot Noir;Gary Farrell;95
US;Grignolino;95;24.0;California;Napa Valley;Napa;Rosé;Heitz;92
Spain;Prado Enea Gran Reserva;95;79.0;Northern Spain;Rioja;;Tempranillo Blend;Muga;90
Spain;Termanthia;95;220.0;Northern Spain;Toro;;Tinta de Toro;Numanthia;99
US;Giallo Solare;95;60.0;California;Edna Valley;Central Coast;Chardonnay;Center of Effort;90
US;R-Bar-R Ranch;95;45.0;California;Santa Cruz Mountains;Central Coast;Pinot Noir;Comartin;96
New Zealand;Maté's Vineyard;94;57.0;Kumeu;;;Chardonnay;Kumeu River;92
US;Shea Vineyard;94;62.0;Oregon;Willamette Valley;;Pinot Noir;Bergström;86
