i,b,c
1,-3.997634,4.222109
2,-2.884017,3.789772
3,-2.377103,2.102858
4,3.875961,1.294584
5,0.276519,2.556374
6,3.594787,2.024671
7,1.657842,3.918993
8,2.503639,1.516564
9,0.260370,2.382985
10,-4.548497,2.916910
11,1.854711,4.540564
12,-3.155821,2.523434
13,-2.374810,1.409189
14,0.766049,3.779021
15,-4.539251,3.091845
16,2.564720,1.252532
17,0.452416,4.548731
18,1.374776,4.913927
19,1.741539,4.051086
20,3.391104,4.510830
21,4.675910,1.550738
22,-2.674097,3.649159
23,4.008304,4.494191
24,-2.138448,3.419920
25,3.973995,2.360714
26,4.352662,0.503506
27,-0.689198,2.170859
28,-1.188165,3.054435
29,2.516214,4.565055
30,0.727763,4.833032
31,-0.045870,2.385049
32,4.111392,4.326550
33,-3.677360,1.302462
34,-1.245492,4.025139
35,2.604664,2.743497
36,1.694240,0.070209
37,-3.203234,3.598523
38,-0.989660,1.994118
39,0.269697,4.124225
40,-0.550117,3.340766
41,0.935912,0.005714
42,-1.353957,2.467889
43,-3.039829,4.338014
44,-0.642699,1.219554
45,-2.338867,1.626022
46,1.996659,4.352356
47,1.506737,0.955335
48,0.267058,2.837554
49,1.068055,1.193080
50,2.200779,4.837701
51,4.161375,4.015897
52,1.497861,2.239848
53,-3.784982,0.402229
54,-1.202815,1.600273
55,-0.332797,2.539703
56,-0.917423,4.664169
57,3.452101,0.545289
58,0.312831,2.756336
59,1.366916,3.532807
60,1.223878,2.737205
61,0.511604,4.072334
62,-0.569678,2.701418
63,-1.858334,4.819193
64,2.985066,3.015928
65,-2.813497,2.938085
66,-0.495798,2.224945
67,-0.785410,2.981434
68,2.940097,1.924506
69,3.447838,2.878255
70,0.156251,1.451648
71,-0.516870,0.946957
72,-0.899872,0.933648
73,0.294994,3.063866
74,3.011856,3.283297
75,3.537928,2.382655
76,3.938696,0.449122
77,-2.973416,3.788020
78,-3.312174,4.383852
79,1.602505,4.616905
80,2.782791,4.212301
81,-1.940180,4.490866
82,1.549888,4.615412
83,-4.106454,2.703000
84,-1.928252,1.956480
85,-2.921561,3.526417
86,-2.805639,1.378171
87,3.720306,4.058144
88,3.493848,4.247430
89,4.912093,4.475195
90,-3.419411,2.949006
91,4.911040,4.748824
92,4.884969,2.898475
93,-2.912001,2.252816
94,4.882694,3.301227
95,-1.918545,4.981289
96,-4.783801,4.584706
97,0.087603,3.966625
98,-4.508440,0.411865
99,-1.984932,3.063916
100,-0.525510,2.432221
101,3.551503,3.150737
102,4.497490,4.225388
103,-4.550120,1.215178
104,-4.035746,3.657446
105,-2.047647,0.585671
106,2.969811,1.102303
107,2.705999,3.972915
108,-4.326407,1.662681
109,0.722526,4.079565
110,0.028362,0.503038
111,-2.741046,0.731792
112,3.051239,3.488353
113,-3.916184,0.226170
114,-2.364635,2.869330
115,2.163096,4.550080
116,-3.838882,2.670990
117,4.570317,3.402946
118,0.930526,0.133484
119,0.134619,3.175000
120,1.183660,3.031692
121,1.330995,2.879765
122,-3.188029,1.956047
123,3.767161,1.850700
124,4.330196,4.902583
125,0.961322,0.181960
126,1.240896,0.108183
127,2.836047,4.805156
128,-4.106935,0.924860
129,3.881346,0.619476
130,-0.463450,1.052883
131,-0.786052,4.003733
132,-0.001235,4.684846
133,-2.740076,0.113913
134,3.790019,2.128094
135,4.072715,0.507501
136,-1.523677,1.299599
137,1.557122,1.104146
138,0.381888,3.234629
139,-1.126395,1.751470
140,1.488166,0.901590
141,4.946331,2.518183
142,0.605189,0.196894
143,0.892011,0.504606
144,2.326061,4.941176
145,-2.334377,0.996779
146,-4.876987,1.792777
147,-0.764167,3.657992
148,-2.103710,4.191633
149,2.871540,4.592410
150,-0.342291,0.847123
